Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Насос масляный ЯМЗ-238НД3/5 (ОАО Автодизель-ЯМЗ);00000000889;Склад бр Оберемко В.;3;72405.87
Привод вентилятора 2-х руч. 238НД3 (ЯЗТО);00000000913;Склад бр Оберемко В.;1;14216.29
Стакан форсунки ЯМЗ нов/обр. (ОАО Автодизель-ЯМЗ);00000000945;Склад бр Оберемко В.;19;38214.12
Шестерня привода вентилятора ЯМЗ ;00000000985;Склад бр Оберемко В.;1;1855
Якорь стартера СТ25 ЯМЗ (ООО ПРАМО);00000000994;Склад бр Оберемко В.;1;25804.57
Включатель гидромуфты в сборе ЯМЗ-240 240Б-1318210-А2 ;00000001024;Склад бр Оберемко В.;1;5100.99
Крышка головки цилиндров (общая ГБЦ) ЯМЗ-240;00000001045;Склад бр Оберемко В.;1;8221.5
Насос водяной ЯМЗ-240 (ОАО Автодизель-ЯМЗ);00000001049;Склад бр Оберемко В.;1;19413.48
Болт М12*30мм;012755     ;Склад бр Оберемко В.;1;554.46
Насос масляный ЯМЗ-238НД3/5 с трубкой (к-т) (ОАО Автодизель-ЯМЗ);00000001115;Склад бр Оберемко В.;1;39973.35
Кольцо уплотн-е плунж. пары ЯМЗ (рез.);00000001263;Склад бр Оберемко В.;8;142.86
Фильтр воздушный К-700/701 (прямоугольный) (Кострома);00000001348;Склад бр Оберемко В.;1;1682.73
Шайба алюм-я 14*20*1,5;00000001361;Склад бр Оберемко В.;1;6.25
Втулка высев. аппарата СТС/СЗС (мет. с квадратом) 14мм;00000001398;Склад бр Оберемко В.;1;418.75
Фильтр масляный ЯМЗ (металл. корпус с резьбой) М5103 (LF3477) (ОАО Автодизель-ЯМЗ);004263     ;Склад бр Оберемко В.;1;4354.07
Шарик пружины вала РПН К-700/701 ;004358     ;Склад бр Оберемко В.;5;290.67
Датчик сигнализатор авар. температуры воды ГАЗ, МАЗ, МТЗ (штырь, 105гр.);004453     ;Склад бр Оберемко В.;1;585.72
Насос-дозатор МТЗ с ГОРУ (Республика Беларусь);004479     ;Склад бр Оберемко В.;1;25115.09
Турбокомпрессор ТКР9 ЯМЗ нов./обр. (Пионер);004495     ;Склад бр Оберемко В.;1;44642.85
Фильтр топливный грубой очистки ЯМЗ (пряжа, упаковка 70 шт.)(Кострома);00000001453;Склад бр Оберемко В.;2;495.83
Гайка М10;00000001491;Склад бр Оберемко В.;0.5;301.34
Диск сцепления СМД 14/20 м/молот с пруж. Тара;00000001530;Склад бр Оберемко В.;3;15325.74
Хомут 60*80/9 Torro Norma;012438     ;Склад бр Оберемко В.;1;106.25
Насос масляный Д442 2-х клап.;00000001540;Склад бр Оберемко В.;1;17313.46
"Распылитель Д-240 МТЗ (АЗПИ) ""50"" ";00000001770;Склад бр Оберемко В.;2;1800.72
Гайка колеса увеличенная К-700/701/744 М22х1,5;007579     ;Склад бр Оберемко В.;64;12926.18
Шпилька колеса увеличенная К-700/701/744Р М22х1,5;007580     ;Склад бр Оберемко В.;64;16129.06
Хомут 12*18/9 Torro Norma;012431     ;Склад бр Оберемко В.;2;141.07
Привод вентилятора 2-х руч. 238НД3 (принудит.смазка) (ЯЗТО);00000006540;Склад бр Оберемко В.;2;29880.72
"Распылитель Д-144 Т-40 (АЗПИ) ""16""";00000006709;Склад бр Оберемко В.;1;818.72
Пара плунжерная МТЗ У16с15 (АЗТН) ;00000006716;Склад бр Оберемко В.;4;4248.92
Шайба медная 22*28*1,5;00000006745;Склад бр Оберемко В.;15;591.19
Головка ножа 7м. Енисей, Руслан (пятка)/Россия/;00000006907;Склад бр Оберемко В.;1;3545.92
Болт штуцера обратки МТЗ Д=10 (Руслан);00000006962;Склад бр Оберемко В.;27;1483.12
Вал привода ВОМ МТЗ (Бобруйск);00000007021;Склад бр Оберемко В.;1;3431.71
"Шланг манометра давл. масла 2,7м. (усиленный) ""Балаково""";00000007218;Склад бр Оберемко В.;1;2280.81
Трубка дренажная ЯМЗ-238 (ОАО Автодизель-ЯМЗ)   ;008024     ;Склад бр Оберемко В.;4;11130.28
1900 А Ремень приводной (Ярославль);010356     ;Склад Костанай;21;9077.89
Направляющая цепи трансп. наклонки Енисей/Нива (Ростсельмаш);014348     ;Склад Костанай;10;15414.46
Рычаг поворотный цапфы МТЗ левый (с ГОРУ) двойной (Витебск);006034     ;Склад Костанай;3;24144.49
"Распылитель Д-243,245,260 МТЗ-Евро2 (АЗПИ) ""174-1.01""";006036     ;Склад Костанай;78;214919.67
Трубка подвода масла к ТНВД ЯМЗ-236;006038     ;Склад Костанай;10;2707.39
Лапа-бритва КРН правая (165мм) некрашеная (Рубцовск);009003     ;Склад Костанай;13;7859.03
Вал привода насоса НШ-32М4 Палессе-812/Еssil-740 (Украина);012192     ;Склад Костанай;2;9482.04
Глушитель МТЗ (длинный) Новосады;007471     ;Склад Костанай;10;77574.03
Опора правого колеса в сб. ЖВЗ-10,7 (Гомсельмаш);013797     ;Склад Костанай;1;52381.17
Болт гидрокрюка 30*100мм + 2гайки и шайба.;013529     ;Склад Костанай;10;30128.5
Тяга очистки Палессе-812/1218/Еssil-740/760 (Гомсельмаш);010551     ;Склад Костанай;4;58714.62
Башмак жатки Нива СК-5 (Ростсельмаш);014276     ;Склад Костанай;1;11723.73
Муфта фрикционная зернового элеватора Палессе-1218/Еssil-760 (Гомсельмаш);010325     ;Склад Костанай;4;179060.71
2800 С(В) Ремень привода выгрузного шнека Енисей (Ярославль Премиум);009517     ;Склад Костанай;4;8136.14
Головка ножа Енисей/Нива (пятка) /К/;009986     ;Склад Костанай;19;8440.72
Привод вентилятора 2-х руч. 238НД3 (принудит.смазка) /каленые вал, шест/ (ДТЭ);015158     ;Склад Костанай;3;60501
"Радиатор (блок радиаторов) К-700А/702СХТ (для ЯМЗ 400л.с.) ""Композит""";011612     ;Склад Костанай;1;405117.37
Муфта шлицевая (под болт) моста Палессе-812/1218/Еssil-740/760 (Гомсельмаш);010275     ;Склад Костанай;1;11932.88
Вентилятор охлаждения с опорой в сборе Палессе-1218/Еssil-760 (Гомсельмаш);011438     ;Склад Костанай;2;496143.43
Фланец РПН К-700/701 нов.обр. (мелкий  шлиц) (ТИХМАШ);013175     ;Склад Костанай;1;15012.25
Доска стрясная (грохот) Вектор (Ростсельмаш);013977     ;Склад Костанай;1;66231.48
Поршнекомплект ЯМЗ-7511 нов. обр. (Кострома) (Г+П+УК+ПК+СК+ПП) Эксперт;011069     ;Склад Костанай;16;317449.2
Гидроцилиндр подъёма мотовила Енисей/Нива (Ростсельмаш);014351     ;Склад Костанай;2;12350.37
Башмак плуга отвального ПЛЕ ЛИТОЙ (Рубцовск);005935     ;Склад Костанай;20;199620.86
Лапа ЭКТШ (культиватор КПЭ-3,8) 410мм. некраш. (Рубцовск);005936     ;Склад Костанай;92;221450.26
Колесо опорное плуга ПН-3,4,5,8-35 (малое) со ступицей. (Рубцовск);005938     ;Склад Костанай;1;27722.67
Рычаг блока уравновешивающего жатки ЖУ-7 Дон, Вектор;005939     ;Склад Костанай;1;16400.33
Вал ВОМ МТЗ стар. обр. 6 шлиц  70-4202018 (Тара);005940     ;Склад Костанай;4;17497.95
Блок двигателя Д-260 (ОАО ММЗ) г.Минск;005941     ;Склад Костанай;1;430408.85
Корпус подшипника Дон, Вектор ;005943     ;Склад Костанай;2;2773.39
1250 (А) Ремень вентиляторный МТЗ-80/82 (Ярославль);005950     ;Склад Костанай;100;42923.89
Вал контпривода наклонки без звезд. (левый) Енисей н/обр. (Украина);005949     ;Склад Костанай;2;12853.16
"РВД  ключ 17  L=2,0 м. ""Вектор""";009685     ;Склад Костанай;5;24776.79
Диск нажимной предохр-ного мех-ма  колос. элеватора Дон/Вектор (Ростсельмаш);013903     ;Склад Костанай;1;3992.97
Козырек колодок верхний + нижний К-700/701/744 (ПТЗ);014803     ;Склад Костанай;5;45300
Стартер МТЗ,Т-40 редукторный 12v (АТЭ-1);008675     ;Склад Костанай;1;18494.45
"Шкив натяжной ""Енисей"" без кронштейна под конус (Украина)";005446     ;Склад Костанай;5;17773.8
Крыльчатка вентилятора СМД-20/22 6-ти лопастн.(К);005448     ;Склад Костанай;1;5923.21
Блок вариатора хода Енисей, Нива (Украина);005449     ;Склад Костанай;1;69751.18
Ремень плоский бесконечный на ЗМ-90;005454     ;Склад Костанай;7;120230.08
Лента ПХ подборщика ППТ-3А 3-х слоиная (Бердянск);005455     ;Склад Костанай;99;828643.12
Лента подборщика ПП-3 Енисей/Нива (сплошная) Бердянск;005456     ;Склад Костанай;1;70381.44
Вал коленчатый соломотряса ведомый Дон-1500Б/Акрос 40мм. не в сборе;005459     ;Склад Костанай;1;41621.51
Шкив натяжного 740 ролика (без подшип-ков) Дон/Вектор (чугун)D=224 /Украина/;005464     ;Склад Костанай;5;15426.14
Скоба полуподшипника  мотовила жатки Вектор (Ростсельмаш);005465     ;Склад Костанай;40;13938.97
Вал карданный выгрузного шнека Вектор/Есиль(Lmin= 630-Lmax990)(гук квадрат*круг 30)/Россия/;005474     ;Склад Костанай;4;58563.84
