Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
"Компрессор кондиционера ""Вектор/Палессе""";005425     ;Склад бр Оберемко В.;1;30037.47
Масло Лукойл дизель М-10ДМ (5 литров);00000070184;Склад бр Оберемко В.;1;2247.77
ТНВД Д-243 МТЗ-80/82 (Украина) нов.обр.;005708     ;Склад бр Оберемко В.;1;74963.18
Гайка колеса К-700/701 М20х1,5;00000000058;Склад бр Оберемко В.;32;5077.47
Компрессор ЗИЛ-130/К-700 (Мелитополь);00000000125;Склад бр Оберемко В.;5;106877.83
Стремянка  переднего моста (510мм) К-700/701 700А.00.23.014-03;00000000219;Склад бр Оберемко В.;4;34139.44
Рычаг навески левый (верхний)К-700/701 700.46.28.460;00000001655;Склад бр Оберемко В.;1;47843.75
Болт карданный К-700 больш. 700.22.00.013;00000000030;Склад бр Оберемко В.;16;2474.56
Рычаг навески правый (верхний)К-700/701 700.46.28.450;00000001656;Склад бр Оберемко В.;1;47012.06
Винт стяжной вертикального раскоса мех-ма навески К-700/701 700А.46.28.053;00000001811;Склад бр Оберемко В.;3;11795.33
Стремянка  заднего моста (440мм) К-700/701 700А.00.23.014-02;00000000218;Склад бр Оберемко В.;4;34142.29
Прижим колеса (клин) К-700/701 700.31.00.011-3;00000000168;Склад бр Оберемко В.;32;21946.95
Валик привода тахоспидометра К-700/701 700А.17.01.063-2;00000000046;Склад бр Оберемко В.;2;5552.68
Рычаг КПП К-700/701 700А.17.19.610-2;00000001925;Склад бр Оберемко В.;1;2395.51
Механизм переключения передач КПП К-700/701 (ТИХМАШ);00000000144;Склад бр Оберемко В.;2;221880.22
Болт карданный К-700 малый 700.22.00.014;00000000031;Склад бр Оберемко В.;100;10595.47
Раскос вертикальный в сборе К-700 700.46.28.070-2;00000001502;Склад бр Оберемко В.;2;56722.31
Комплект трубок КПП К-700А/701;00000001825;Склад бр Оберемко В.;1;26576
Кронштейн двигателя К-700А (лит.) 700А.10.00.011-1(С-Пг);00000000131;Склад бр Оберемко В.;4;24781.43
Редуктор в сборе привода НМШ-25 КПП К-700/701 700А.17.01.290;00000000182;Склад бр Оберемко В.;1;14461.94
Стремянка  переднего моста (550мм) К-700/701;00000000220;Склад бр Оберемко В.;4;34488.05
Шарнир центрального винта К-700/701 700.46.28.040-1;00000001851;Склад бр Оберемко В.;2;33427.05
Гайка стремянки К-700/701 М27 ГОСТ 5931-70;00000001812;Склад бр Оберемко В.;20;4774.83
Клапан паровоздушный в сборе К-700/701 700.13.15.000-01;00000000108;Склад бр Оберемко В.;1;2651.7
Гайка М36х3 пальца гидроцилиндра поворота К-700/701;00000001889;Склад бр Оберемко В.;16;6357.33
Сошка ГУР К-700/701 700А.34.22.025-1;00000001244;Склад бр Оберемко В.;1;1599.24
Валик привода насоса НМШ-25 КПП К-700/701 700А.17.00.038-1;00000000047;Склад бр Оберемко В.;1;1054.86
Траверса крепления двигателя К-700 700.10.00.038;00000000225;Склад бр Оберемко В.;2;42727.06
Проставка аммортизатора двиг-ля К-700А 700А.00.10.021;00000000172;Склад бр Оберемко В.;4;20325.31
Распределитель с редуктором (ГУР) К-700/701;00000000087;Склад бр Оберемко В.;1;78036.74
Стремянка  заднего моста (395мм) К-700/701 700А.00.23.014-01;00000000217;Склад бр Оберемко В.;4;33944.3
Шпилька колеса К-700/701 700.23.00.089;00000001147;Склад бр Оберемко В.;32;6211.7
Вал РПН К-700/701 нов.обр. (мелкий  шлиц) 6010.16.00.019;00000000043;Склад бр Оберемко В.;1;9490.31
Палец гидроцилиндра поворота ЦС-125 К-700/701 700А.34.00.012;00000001372;Склад бр Оберемко В.;16;29893.86
Гидронасос НМШ-25А К-700/701 (Гидросила);00000000076;Склад бр Оберемко В.;1;11651.84
Гидрораспределитель Р80 МТЗ (Гидролига);00000000079;Склад бр Оберемко В.;1;14310.06
Кольцо фторопластовое ф4  гильзы ЯМЗ;00000000120;Склад бр Оберемко В.;4;295.14
Кран тормозной в сборе К-700/701 700.35.00.090-2;00000000128;Склад бр Оберемко В.;3;58530.85
180208 Подшипник;00000000273;Склад бр Оберемко В.;1;1469.99
Гидроцилиндр подъёма мотовила Енисей/Нива;00000000322;Склад бр Оберемко В.;1;3617.15
Клапан впускной СМД-14/22 (СССР);00000000375;Склад бр Оберемко В.;80;216000
Клапан выпускной СМД-14/22 (СССР);00000000376;Склад бр Оберемко В.;81;129005.59
Нож (6м) прям. комб. Енисей/Нива (симф. сегмент);00000000425;Склад бр Оберемко В.;18;116316.8
Гидроцил-ра рабочего сцепл. 54-032-7Б Енисей/Нива (РЕМ. К-Т.);00000000598;Склад бр Оберемко В.;2;75.64
Прокладок компрессора ЗиЛ/К-700 (РЕМ. К-Т.)(РУСЬ);00000000611;Склад бр Оберемко В.;1;157.21
Магнето ПД-10 (р.Беларусь);00000000668;Склад бр Оберемко В.;12;86765.94
Насос топливоподкач-ий в сборе ЯМЗ-236/238 (ОАО ЯЗДА);00000000891;Склад бр Оберемко В.;2;9907.45
Крышка корпуса подшипника БДТ-3-5-7 ;00000001137;Склад бр Оберемко В.;20;18064.46
Корпус подшипника ЛДГ без крышки;00000001271;Склад бр Оберемко В.;2;5497.8
Насос масляный Т-4 (крупн. зуб);00000001273;Склад бр Оберемко В.;2;15084.06
Шайба алюм-я 10*14*1,5;00000001291;Склад бр Оберемко В.;20;71.43
Стакан РПН К-700/701 700А.16.02.057-1;00000001302;Склад бр Оберемко В.;4;18313.26
Паронит  1,0мм. ПОН-Б (1М.*1,5М.);00000001356;Склад бр Оберемко В.;1;1959.32
Сальник 110х135-2х бортн.;00000001434;Склад бр Оберемко В.;2;368.79
Головка блока ЯМЗ-240 (общая);00000001512;Склад бр Оберемко В.;3;98758.91
ТНВД Т-40 Д-144 рядный (Украина);00000001623;Склад бр Оберемко В.;1;67526.52
